id;full_name;birth_year;deathyear;birthcountry
1;relinquish;24202;14991;boohoo ugh clerk
2;chives once;779;8700;reliable until
3;gadzooks;28786;8994;loneliness paramecium organize
4;inside;30498;10806;normal oh
5;overconfidently that;31679;32296;cormorant warmhearted
6;gosh request;10991;16586;crossly versus throttle
7;once parched;20238;10305;terrorize probe fundraising
8;catapult;24974;31297;helpfully whenever
9;helpfully curiously righteously;24268;6974;why
10;disabuse opposite;15961;15697;likewise about amidst
